ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
259.2789718831197,43.10898177588797,,,,19.56728,
259.28997796219096,43.10501105896133,,,,18.4345,0.632349
259.289054255251,43.11337816429365,,,,19.24202,
259.29039007418356,43.106504235878454,1.5337107269718269,-5.808720165921314,-1.7084722750775063,19.921402,
259.3062564816469,43.11068697124085,1.1067747861352202,-4.624149251954689,-1.0939895985479433,19.992563,
259.2681178547593,43.10469903231538,-1.0365980794205818,-4.683732274992705,-0.5197379445343456,19.92028,0.75639343
259.26833086895317,43.10478876591183,,,,20.41716,
259.2688173092924,43.1063387205492,-0.031390301414865096,-5.688505299885103,0.14381015809082123,19.317175,
259.268159030983,43.105793481031235,-0.7700006625408292,-1.065605248771747,4.497393551898231,19.669512,-0.18153763
259.2678768934248,43.10585580966613,,,,20.450974,
259.26733692177396,43.10510257926479,0.0324186499919634,-4.565045143478924,-0.4564531743987594,16.16639,0.92208576
259.2669255843572,43.10462161634781,0.6155981208050553,-6.319688586379504,0.19993364225885718,19.70288,
259.2654346950405,43.105461704991924,-0.06709679054149664,-4.373011574836191,-1.8594589374036832,19.318129,
259.26575485246093,43.10549693705479,0.09883660557406088,-4.714638630506848,-1.7653113810358156,18.496992,0.5858536
259.2681413300291,43.10800448077724,0.5153364183428455,-1.2819110538247978,-0.5941925020107646,19.59585,
259.2642964463845,43.10528076660655,-0.187894408590146,-4.583524792343063,-0.7920699594373979,18.433859,0.5839653
259.26660468773554,43.10682878611016,,,,20.26592,
259.2635364564769,43.10508950819463,0.3057357198550996,-8.77617351830439,2.1953684431170344,20.064775,
259.2678503120735,43.10413575088568,-0.3727190434700646,-4.710107481625281,6.076080912064102,19.715748,0.4761181
259.26617428532705,43.10505336257168,-0.9548519476614807,-8.51562244000523,-1.007578084394015,19.580492,
259.26672797001976,43.10550205836672,0.37685648529951327,-4.086813126218395,-0.1536361742849947,19.348951,
259.267115061953,43.10620987695471,,,,20.068995,
259.2669751554481,43.10604600284283,,,,20.195875,
259.26790132447474,43.10527687772702,,,,20.437914,
259.2690673683724,43.10415543190251,0.6627380890738803,0.06178003920244801,2.236402872344643,20.079115,1.0880527
259.26903544169625,43.10494125622693,,,,20.111528,
259.2687301256729,43.105409272619575,,,,20.541788,
259.26632612677565,43.10587159122632,2.797510168552786,-2.8294132719574296,1.5864567657334812,20.363405,
259.26812976316603,43.10770869349348,0.059942470789140015,-4.895132595890067,-0.5752845527345893,16.155346,0.9144058
259.2893093081054,43.11360189417828,,,,19.491072,
259.2838354469862,43.10937029790067,,,,19.46937,
259.2876175510049,43.112938955223804,,,,19.360123,
259.2878967699115,43.11291069674924,-2.436314611999832,0.6541504068418091,3.6298979026191747,18.386742,
259.2784977149408,43.10451263385391,,,,20.425089,
259.2793269940068,43.10500213280766,-0.28959921374457087,-3.6076580885363807,-0.2360542422589257,19.17132,
259.29098218981704,43.10376559101596,,,,19.827066,0.96025276
259.2916264344513,43.1043894153968,-0.007868204993009276,-9.479242805001972,-3.60786496048588,19.631506,
259.29192110897156,43.10390908083212,-0.9375789734094875,-6.755476160782487,-2.00963691899773,19.968384,
259.2915764674292,43.10458965370069,-0.05940529547260465,-9.920062044759458,-2.163691905566717,19.08634,0.7382755
259.2916171836807,43.10416189076261,,,,20.163816,
259.2907891043019,43.104729546610535,-0.28790590897535734,-8.29828175769818,-2.9736175402164413,19.448114,0.8813019
259.2908748482663,43.10433458333132,0.25136902419066587,-6.288764328839424,-2.0696168435451323,20.144768,
259.28947349379393,43.10388406609527,0.44981008303204967,-7.388271333210564,0.757871606333313,18.686321,0.5787773
259.28825487599096,43.10371945680424,,,,20.513584,
259.28899040716163,43.10419583044908,-0.47482745272496013,-4.998222712028432,-0.33788927464816576,19.689695,
259.28881405713076,43.10389952112568,-1.7223387593496458,-5.203657356331272,-1.9525926772748654,19.84771,
259.29099367841405,43.107308190553674,0.125152728289666,-4.69474771727909,-0.7702627069994123,18.568111,0.561718
259.290981672755,43.10676312860943,-0.08992244035571817,-6.8931506290545315,-1.7282379407164767,18.920021,0.3999195
259.28810439641717,43.10472478722914,,,,20.165854,
259.2883917737894,43.105180156264204,,,,20.06433,
259.2882436261931,43.104932283438536,0.2187114907565253,-4.521299302086652,-0.5057405994382776,18.156235,0.59939003
259.2865923225797,43.104299687991286,-0.5213100157257132,-3.106948420868157,1.962413867547753,18.568483,
259.2870285369544,43.10412663518407,,,,19.27359,
259.2862349521626,43.10346306759452,0.26420071497339603,-4.160983916019452,-1.9296659959840325,18.405235,0.64367104
259.28997557693503,43.10676750705782,,,,20.444786,
259.2888539861131,43.10617685630063,,,,20.47206,
259.2854254843927,43.104167316549315,0.09002749799127853,-5.0748557477291785,-0.5613182822122297,15.167524,0.19204426
259.2857397420628,43.10378263114637,0.755937677516511,-2.162705354827904,-0.7312122031941626,19.66502,
259.2875153547424,43.10583017928751,,,,20.260029,
259.28715565183296,43.10548771537146,,,,18.460413,0.57645607
259.2878014912411,43.105806932518114,,,,20.430374,
259.28857153166973,43.10663589813392,-0.7263201144226392,-5.678438609596319,1.9661259967785523,18.681389,0.71710587
259.28349756189544,43.10302818400792,,,,20.38982,
259.2835365507807,43.103415518421485,0.6531511460808775,-7.465900141913267,-1.2344390812710593,19.567717,
259.2837474668966,43.10270301333844,-0.3466482359037338,-5.351682467376573,-2.789576284475263,18.814201,0.6580982
259.28409359667097,43.10310918688964,-0.7868185204827668,-7.00293328428409,-9.330373769339925,19.730934,
259.2849704695495,43.10313274923229,,,,20.254,
